"jahr";"thema";"anzahl_abstimmungsvorlagen";"spatialunit_uid"
"2002";"Sozialpolitik";"2";"0_CH"
"1975";"Landwirtschaft";"0";"0_CH"
"1982";"Kultur, Religion, Medien";"0";"0_CH"
"1973";"Sozialpolitik";"0";"0_CH"
"2005";"Bildung und Forschung";"0";"0_CH"
"1998";"Aussenpolitik";"0";"0_CH"
"1973";"Aussenpolitik";"0";"0_CH"
"2011";"Bildung und Forschung";"0";"0_CH"
"1976";"Landwirtschaft";"0";"0_CH"
"1992";"Aussenpolitik";"3";"0_CH"
"2017";"Wirtschaft";"0";"0_CH"
"2000";"Staatsordnung";"4";"0_CH"
"2009";"Öffentliche Finanzen";"0";"0_CH"
"1986";"Öffentliche Finanzen";"0";"0_CH"
"1987";"Öffentliche Finanzen";"0";"0_CH"
"2011";"Sozialpolitik";"0";"0_CH"
"2011";"Staatsordnung";"1";"0_CH"
"1999";"Umwelt und Lebensraum";"2";"0_CH"
"1981";"Staatsordnung";"0";"0_CH"
"1973";"Staatsordnung";"0";"0_CH"
"1984";"Wirtschaft";"1";"0_CH"
"1990";"Sozialpolitik";"0";"0_CH"
"1989";"Aussenpolitik";"0";"0_CH"
"1978";"Staatsordnung";"1";"0_CH"
"1987";"Sicherheitspolitik";"2";"0_CH"
"1996";"Bildung und Forschung";"0";"0_CH"
"1989";"Öffentliche Finanzen";"0";"0_CH"
"2003";"Landwirtschaft";"0";"0_CH"
"2006";"Energie";"0";"0_CH"
"1981";"Landwirtschaft";"0";"0_CH"
"1985";"Öffentliche Finanzen";"2";"0_CH"
"2003";"Aussenpolitik";"0";"0_CH"
"1972";"Bildung und Forschung";"0";"0_CH"
"1992";"Landwirtschaft";"0";"0_CH"
"1999";"Energie";"0";"0_CH"
"2013";"Kultur, Religion, Medien";"0";"0_CH"
"1988";"Staatsordnung";"0";"0_CH"
"2001";"Landwirtschaft";"0";"0_CH"
"1994";"Bildung und Forschung";"0";"0_CH"
"1988";"Sicherheitspolitik";"0";"0_CH"
