"farmholding_system";"year";"farmholdings";"employees_total";"full_time_employees_75_percent_or_more";"part_time_employees_50_75_percent";"part_time_employees_2_less_than_50_percent";"employees_men";"employees_women";"employees_women_manager_label";"employees_swiss";"employees_foreign_nationals";"family_employees";"beef_cattle_and_cows_farm";"horse_and_other_equine_farm";"sheep_farm";"goat_farm";"pig_farms";"poultry_farm";"farms_with_other_animals";"utilised_agricultural_area_in_hectares";"arable_land_in_hectares";"grassland_in_hectares";"permanent_crops_in_hectares";"other_utilised_agricultural_area_in_hectares";"livestock_beef_cattle_and_cows";"livestock_horses_and_other_equines";"livestock_sheep";"livestock_goats";"livestock_pigs";"livestock_poultry";"livestock_other_animals";"spatialunit_uid"
"Not defined";"2019";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4_A.ADM1"
"Farmholding system - total";"2005";"1125";"3119";"1310";"740";"1069";"2149";"970";"108";"2707";"412";"2385";"422";"261";"274";"269";"90";"165";"99";"13886.62";"1447.41";"11508.24";"767.09";"163.88";"10172";"1744";"18481";"11584";"3928";"43721";"1798";"21_A.ADM1"
"Not defined";"2011";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0_CH"
"Conventional farming";"2009";"3710";"11315";"5170";"2216";"3929";"7004";"4311";"194";"10197";"1118";"8437";"2072";"806";"398";"276";"242";"906";"354";"67235.47";"27787.25";"36449.3";"1368.83";"1630.09";"86632";"6754";"14810";"2851";"38573";"342966";"4899";"1_A.ADM1"
"Organic farming";"2008";"122";"398";"245";"57";"96";"269";"129";"2";"320";"78";"281";"79";"27";"23";"20";"7";"35";"12";"2643.98";"512.2";"2063.93";"40.04";"27.81";"4022";"121";"1220";"375";"346";"32467";"558";"10_A.ADM1"
"Not defined";"2007";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4_A.ADM1"
"Organic farming";"2009";"240";"739";"372";"134";"233";"482";"257";"10";"653";"86";"537";"176";"60";"40";"32";"16";"84";"43";"4251.74";"1046.2";"3074.22";"86.18";"45.14";"5921";"233";"3048";"220";"1435";"47622";"315";"20_A.ADM1"
"Organic farming";"2012";"144";"562";"362";"72";"128";"385";"177";"3";"401";"161";"345";"101";"32";"25";"21";"8";"37";"8";"3608.4445";"689.7214";"2841.4585";"32.3063";"44.9583";"5496";"175";"1468";"422";"444";"38724";"396";"10_A.ADM1"
"Conventional farming";"1998";"2518";NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1709";"378";"944";"352";"226";"752";"298";"32326.79";"2099.57";"29693.63";"465.17";"68.42";"51990";"1464";"42262";"5257";"6220";"38572";"2797";"18_A.ADM1"
"Conventional farming";"2011";"327";"873";"434";"199";"240";"541";"332";"15";"839";"34";"790";"278";"43";"54";"81";"28";"95";"29";"5430.37";"40.71";"5326.71";"4";"58.95";"9732";"179";"2199";"764";"2325";"23204";"377";"8_A.ADM1"
"Organic farming";"2017";"165";"436";"129";"122";"185";"273";"163";"16";"431";"5";"403";"142";"29";"35";"22";"7";"50";"30";"2707.71";"13.49";"2477.75";"3.99";"212.48";"4020";"107";"2024";"381";"245";"19270";"384";"5_A.ADM1"
"Not defined";"2021";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4_A.ADM1"
