"rententyp";"wohnsitzstaat_kategorie";"staatsangehorigkeit_kategorie";"geschlecht";"jahr";"spatialunit_uid";"anzahl_renten";"rentensumme_in_tausend_franken";"renten_mittelwert_in_franken"
"Zusatzrente für Ehepartner";"Ausland";"Ausland";"Frau";"2017";"0_CH";"25669";"2681";"104"
"Zusatzrente für Kinder (Vater)";"Schweiz";"Ausland";"Frau";"2010";"0_CH";"623";"358";"575"
"Waise (Vater)";"Schweiz";"Staatsangehörigkeit - Total";"Geschlecht - Total";"2002";"0_CH";"21804";"15080";"692"
"Altersrente";"Ausland";"Staatsangehörigkeit - Total";"Frau";"2003";"0_CH";"234554";"141237";"602"
"Altersrente";"Ausland";"Schweiz";"Mann";"2020";"0_CH";"47647";"61317";"1287"
"Waise (Vater)";"Ausland";"Staatsangehörigkeit - Total";"Frau";"2016";"0_CH";"4426";"1779";"402"
"Waise (Vater)";"Schweiz";"Staatsangehörigkeit - Total";"Mann";"2020";"0_CH";"7846";"5832";"743"
"Zusatzrente für Kinder (Vater)";"Ausland";"Schweiz";"Frau";"2001";"0_CH";"407";"195";"480"
"Altersrente";"Schweiz";"Schweiz";"Geschlecht - Total";"2002";"0_CH";"1105659";"1838175";"1663"
"Zusatzrente für Kinder (Vater)";"Wohnsitzstaat - Total";"Staatsangehörigkeit - Total";"Mann";"2010";"0_CH";"9108";"5427";"596"
"Waise (Mutter)";"Schweiz";"Staatsangehörigkeit - Total";"Mann";"2002";"0_CH";"4013";"2141";"533"
"Zusatzrente für Ehepartner";"Schweiz";"Staatsangehörigkeit - Total";"Frau";"2003";"0_CH";"18557";"10272";"554"
"Zusatzrente für Ehepartner";"Schweiz";"Ausland";"Mann";"2019";"0_CH";"8";"4";"484"
"Waise (Vater)";"Ausland";"Schweiz";"Geschlecht - Total";"2019";"0_CH";"1835";"1175";"640"
"Zusatzrente für Kinder (Vater)";"Wohnsitzstaat - Total";"Ausland";"Geschlecht - Total";"2015";"0_CH";"7237";"2481";"343"
"Witwer/Witwe";"Schweiz";"Ausland";"Mann";"2017";"0_CH";"384";"410";"1066"
"Altersrente";"Schweiz";"Schweiz";"Geschlecht - Total";"2001";"0_CH";"1100636";"1827760";"1661"
"Zusatzrente für Ehepartner";"Ausland";"Staatsangehörigkeit - Total";"Frau";"2016";"0_CH";"28824";"3096";"107"
"Zusatzrente für Ehepartner";"Ausland";"Staatsangehörigkeit - Total";"Geschlecht - Total";"2022";"0_CH";"15815";"1620";"102"
"Zusatzrente für Kinder (Vater)";"Schweiz";"Staatsangehörigkeit - Total";"Mann";"2020";"0_CH";"8902";"6572";"738"
"Waise (Mutter)";"Ausland";"Ausland";"Frau";"2016";"0_CH";"517";"143";"277"
"Zusatzrente für Kinder (Vater)";"Ausland";"Ausland";"Geschlecht - Total";"2019";"0_CH";"5772";"1700";"295"
"Zusatzrente für Ehepartner";"Schweiz";"Ausland";"Geschlecht - Total";"2018";"0_CH";"331";"119";"359"
"Waise (Mutter)";"Schweiz";"Staatsangehörigkeit - Total";"Mann";"2009";"0_CH";"3762";"2274";"605"
"Altersrente";"Schweiz";"Staatsangehörigkeit - Total";"Frau";"2012";"0_CH";"825597";"1529827";"1853"
"Waise (Mutter)";"Schweiz";"Ausland";"Frau";"2008";"0_CH";"570";"267";"469"
"Zusatzrente für Kinder (Mutter)";"Ausland";"Staatsangehörigkeit - Total";"Mann";"2017";"0_CH";"169";"52";"310"
"Zusatzrente für Kinder (Mutter)";"Schweiz";"Schweiz";"Geschlecht - Total";"2002";"0_CH";"791";"444";"561"
"Zusatzrente für Kinder (Mutter)";"Schweiz";"Ausland";"Frau";"2001";"0_CH";"75";"32";"428"
"Witwer/Witwe";"Ausland";"Staatsangehörigkeit - Total";"Geschlecht - Total";"2016";"0_CH";"98174";"54470";"555"
"Waise (Vater)";"Ausland";"Ausland";"Frau";"2002";"0_CH";"4361";"1425";"327"
"Zusatzrente für Ehepartner";"Schweiz";"Schweiz";"Geschlecht - Total";"2012";"0_CH";"2403";"1422";"592"
"Waise (Mutter)";"Ausland";"Staatsangehörigkeit - Total";"Mann";"2008";"0_CH";"740";"267";"360"
"Waise (doppelt)";"Ausland";"Ausland";"Mann";"2006";"0_CH";"31";"19";"613"
"Waise (doppelt)";"Schweiz";"Ausland";"Geschlecht - Total";"2001";"0_CH";"58";"42";"726"
"Zusatzrente für Kinder (Vater)";"Schweiz";"Ausland";"Geschlecht - Total";"2019";"0_CH";"2011";"1056";"525"
"Waise (Mutter)";"Schweiz";"Ausland";"Frau";"2013";"0_CH";"419";"192";"459"
"Altersrente";"Wohnsitzstaat - Total";"Schweiz";"Mann";"2018";"0_CH";"658658";"1209913";"1837"
"Waise (Mutter)";"Wohnsitzstaat - Total";"Ausland";"Mann";"2012";"0_CH";"972";"370";"380"
"Zusatzrente für Ehepartner";"Ausland";"Ausland";"Frau";"2022";"0_CH";"15202";"1537";"101"
