"rechtsform";"geschlecht";"altersgruppe";"jahr";"anzahl_beschaeftigte";"anzahl_vollzeitaquivalente";"spatialunit_uid"
"Einzelunternehmen";"Geschlecht - Total";"55-64 Jahre";"2018";"17.89";"15.26";"6_A.ADM1"
"Andere Rechtsform";"Frauen";"55-64 Jahre";"2020";"47.27";"36.08";"3_A.ADM1"
"Einzelunternehmen";"Männer";"45-54 Jahre";"2021";"54.54";"45";"9_A.ADM1"
"Rechtsform - Total";"Frauen";"45-54 Jahre";"2017";NA;NA;"16_A.ADM1"
"Einzelunternehmen";"Männer";"Alter - Total";"2019";"531.31";"437.51";"19_A.ADM1"
"Rechtsform - Total";"Frauen";"55-64 Jahre";"2017";"16.61";"12.9";"14_A.ADM1"
"Rechtsform - Total";"Geschlecht - Total";"55-64 Jahre";"2020";"317.08";"250.5";"12_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"65 Jahre und älter";"2019";NA;NA;"16_A.ADM1"
"Einzelunternehmen";"Männer";"45-54 Jahre";"2020";"56.54";"48.26";"23_A.ADM1"
"Einzelunternehmen";"Frauen";"45-54 Jahre";"2018";"6.71";"4.15";"7_A.ADM1"
"Einzelunternehmen";"Geschlecht - Total";"55-64 Jahre";"2021";"50.31";"42.42";"5_A.ADM1"
"Einzelunternehmen";"Männer";"55-64 Jahre";"2020";"292.64";"252.42";"25_A.ADM1"
"Einzelunternehmen";"Frauen";"55-64 Jahre";"2019";"12.36";"11.48";"26_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"Unter 45 Jahre";"2017";"2.79";"2.09";"8_A.ADM1"
"Rechtsform - Total";"Geschlecht - Total";"65 Jahre und älter";"2021";"32.45";"25.48";"5_A.ADM1"
"Rechtsform - Total";"Geschlecht - Total";"Unter 45 Jahre";"2017";"82";"61.37";"9_A.ADM1"
"Einzelunternehmen";"Frauen";"Alter - Total";"2019";"225.52";"157.32";"17_A.ADM1"
"Einzelunternehmen";"Geschlecht - Total";"55-64 Jahre";"2017";"384.28";"315.34";"19_A.ADM1"
"Rechtsform - Total";"Frauen";"55-64 Jahre";"2017";"93.73";"64.38";"3_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"Unter 45 Jahre";"2017";"336.91";"256.93";"1_A.ADM1"
"Einzelunternehmen";"Geschlecht - Total";"Alter - Total";"2020";"418.42";"311.73";"3_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"45-54 Jahre";"2019";"63.73";"48.82";"20_A.ADM1"
"Rechtsform - Total";"Geschlecht - Total";"45-54 Jahre";"2021";"1792.04";"1351.39";"1_A.ADM1"
"Andere Rechtsform";"Frauen";"65 Jahre und älter";"2020";NA;NA;"6_A.ADM1"
"Einzelunternehmen";"Frauen";"Alter - Total";"2019";"16.85";"12.71";"8_A.ADM1"
"Rechtsform - Total";"Männer";"Alter - Total";"2020";"2669.49";"2097.65";"1_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"55-64 Jahre";"2017";"23.72";"19.96";"18_A.ADM1"
"Rechtsform - Total";"Männer";"55-64 Jahre";"2019";"152.67";"131.63";"20_A.ADM1"
"Rechtsform - Total";"Männer";"55-64 Jahre";"2020";"258.98";"201.81";"21_A.ADM1"
"Einzelunternehmen";"Geschlecht - Total";"55-64 Jahre";"2021";"17.89";"17.39";"8_A.ADM1"
"Einzelunternehmen";"Frauen";"45-54 Jahre";"2019";"57.02";"37.04";"3_A.ADM1"
"Andere Rechtsform";"Männer";"55-64 Jahre";"2019";"2.54";"1.14";"4_A.ADM1"
"Rechtsform - Total";"Frauen";"Unter 45 Jahre";"2019";"1.38";"1.84";"16_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"55-64 Jahre";"2017";"82.24";"61.51";"23_A.ADM1"
"Einzelunternehmen";"Männer";"45-54 Jahre";"2017";"77.05";"65.9";"18_A.ADM1"
"Rechtsform - Total";"Frauen";"55-64 Jahre";"2019";"55.2";"41.58";"11_A.ADM1"
"Andere Rechtsform";"Geschlecht - Total";"65 Jahre und älter";"2018";"681.97";"371.32";"0_CH"
"Einzelunternehmen";"Frauen";"Alter - Total";"2017";"140.57";"95.45";"20_A.ADM1"
"Andere Rechtsform";"Männer";"Alter - Total";"2019";"439.01";"286.06";"22_A.ADM1"
"Einzelunternehmen";"Frauen";"Alter - Total";"2019";"23.53";"16.51";"7_A.ADM1"
